username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Katherine Cross,213169226,2020-05-26 00:23:56,You are being set up to blame each other for the spread of COVID-19 to distract you from the deliberate failures of... https://t.co/6QaO3BpMar,22289,None,24565,959,-0.125,0.375
Philstar.com,55118669,2020-05-27 09:15:07,"In less than three months, COVID-19 infected thousands of Filipinos across the country and took the lives of hundre... https://t.co/u8n7wxseuk",2492,None,548907,441,-0.16666666666666666,0.06666666666666667
Robert J. O'Neill,2315698776,2020-05-23 19:16:44,19 people in Chicago died this week from Covid-19 related gunshot wounds. They will be voting by mail.,25060,None,293605,2157,0.0,0.4
Jerry Avenaim,27938325,2020-05-23 16:12:02,"Governor Cuomo is working today, for the 84th straight day. He says he'll take a day off when Covid-19 takes a day... https://t.co/TJKHNaMkuw",17568,None,17615,3544,0.2,0.4
Ministry of Health,4871317955,2020-05-27 12:17:44,"Today we have tested 3077 samples 
>[?]123 people have tested positive of COVID-19 

Nairobi is leading with 85 cases... https://t.co/UtRe41VIOP",350,None,160020,641,0.22727272727272727,0.5454545454545454
Brit Hume,112047805,2020-05-22 19:28:14,I watched his WH Covid 19 briefings almost without exception and don't recall him acknowleding this this once. Now... https://t.co/FE2pI5r946,10984,None,1216680,790,0.0,0.0
Senator Rand Paul,216881337,2020-05-22 22:16:33,"""Below 25 years old the fatality rate of COVID-19 is 0.00008%, or roughly one in 1.25 million . . .""  Open our scho... https://t.co/WKaDs5hF2m",11614,None,2819274,497,0.0,0.3666666666666667
Amy Klobuchar,33537967,2020-05-21 12:45:05,"Michael Cohen &amp; Paul Manafort, both former Trump advisors, were released from prison early due to COVID-19.

Andrea... https://t.co/pAZoPqOVAU",15381,None,1067943,137947,-0.008333333333333331,0.225
Chris Murphy,150078976,2020-05-21 13:57:10,"Unemployment as high as the Great Depression.

Nearly 100K Americans dead from COVID-19.

And the Senate is voting... https://t.co/wIgDf8TyHy",10982,None,927743,198,0.21500000000000002,0.5225
Kyle Griffin,32871086,2020-05-21 19:00:10,"Morning Consult poll:

73% say Trump should be banned or suspended from social media platforms for spreading COVID-19 misinformation.",12625,None,749810,854,0.03333333333333333,0.06666666666666667
Andrew Wilkow,44397959,2020-05-23 14:25:00,"BREAKING NEWS: 
Seventeen people died in Chicago last week, from Covid-19 related gunshot wounds. They will be voting by mail.",13949,None,101644,1802,0.0,0.23333333333333334
Hillary Clinton,1339835893,2020-05-21 15:50:22,"Yesterday, Trump was asked what he would have done differently to avoid the U.S. accounting for 30% of the world's... https://t.co/iDT9kjvmvR",6181,None,27912356,833,0.0,0.6
